keys,en,de
VERTEX,vertex,knoten
VISITED, explored,erkundet
CALL,Call,Aufruf
RETURN_VALUE_OF,Return value of,Rückgabewert von
TERMINATE,Algorithm terminated and returned: ,Algorithmus terminierte und gab zurück: 
STACK,Stack,Stackspeicher
,,
DFS_PSEUDOCODE,"1. Create empty sequences F and F' \n2. Mark s as explored and add s to F \n3. [b]for[/b] all edges (s, w) with w unexplored [b]do[/b] \n4. | F' = DFS(w) \n5. | Insert F' behind F \n6. [b]return[/b] F","1. Erstelle die leeren Folgen F und F'\n2. Markiere s als erkundet und füge s zu F hinzu\n3. [b]for[/b] alle Kanten (s, w) mit w unerkundet [b]do[/b]\n4. | F' = Tiefensuche(w) \n5. | Füge F' hinter F ein\n6. [b]return[/b] F"
DEPHT-FIRST-SEARCH,DFS,Tiefensuche
,,
BFS_PSEUDOCODE,"1. Create an empty sequence F and an empty queue Q\n2. Mark s as explored and add s to Q and F\n3. [b]while[/b] Q is not empty [b]do[/b]\n4. | Let v = Q.pop() \n5. | [b]for[/b] all edges (v, w) [b]do[/b] \n6. | | [b]if[/b] w is still unexplored [b]then[/b] \n7. | | | Mark w as explored and add w to the end of Q and F \n8. [b]return[/b] F","1. Erstelle leere Folge F und eine leere Warteschlange Q\n2. Markiere s als erkundet und füge s in Q und F ein\n3. [b]while[/b] Q ist nicht leer [b]do[/b]\n4.  |  Sei v = Q.pop() \n5.  |  [b]for[/b] alle Kanten (v, w) [b]do[/b] \n6.  |   |  [b]if[/b] w ist noch unerkundet [b]then[/b] \n7.  |   |   |  Markiere w als erkundet und füge w am Ende von Q und F ein\n8. [b]return[/b] F"
BREADTH-FIRST-SEARCH,BFS,Breitensuche
,,
HEHE,1. Create Portal Gun P \n2. Start baking a black forest [rainbow freq=2.0 sat=0.8 val=0.8]CAKE[/rainbow] [color=red](with love)[/color]❤️\n3. [b]for[/b] all vertices v [b]do[/b] \n4. | make v look better and play funny noise\n5. | teleport v to some random location (that is not the moon)\n6. [b]THE [rainbow freq=2.0 sat=0.8 val=0.8]CAKE[/rainbow] IS READY!!![/b]\n7. [b]EAT [rainbow freq=2.0 sat=0.8 val=0.8]CAKE[/rainbow] :)))))))))[/b],1. Create Portal Gun P \n2. Start baking a black forest [rainbow freq=2.0 sat=0.8 val=0.8]CAKE[/rainbow] [color=red](with love)[/color]❤️\n3. [b]for[/b] all vertices v [b]do[/b] \n4. | make v look better and play funny noise\n5. | teleport v to some random location (that is not the moon)\n6. [b]THE [rainbow freq=2.0 sat=0.8 val=0.8]CAKE[/rainbow] IS READY!!![/b]\n7. [b]EAT [rainbow freq=2.0 sat=0.8 val=0.8]CAKE[/rainbow] :)))))))))[/b]
